"","state","st_fips","district","cd_fips","st_cd_fips","cpvi","incumbent","cand"
"1","Alabama","01","1","01","0101","R+16",1,"Jerry Carl"
"2","Alabama","01","1","01","0101","R+16",0,"Alexander Remrey"
"3","Alabama","01","2","02","0102","R+17",0,"Phyllis Harvey-Hall"
"4","Alabama","01","2","02","0102","R+17",1,"Barry Moore"
"5","Alabama","01","2","02","0102","R+17",0,"Jonathan Realz"
"6","Alabama","01","3","03","0103","R+19",0,"Douglas Bell"
"7","Alabama","01","3","03","0103","R+19",0,"Thomas Casson"
"8","Alabama","01","3","03","0103","R+19",1,"Mike Rogers"
"9","Alabama","01","3","03","0103","R+19",0,"Lin Veasey"
"10","Alabama","01","4","04","0104","R+33",1,"Robert Aderholt"
"11","Alabama","01","4","04","0104","R+33",0,"Johnny Cochran"
"12","Alabama","01","4","04","0104","R+33",0,"Rick Neighbors"
"13","Alabama","01","5","05","0105","R+17",0,"P. J. Greer"
"14","Alabama","01","5","05","0105","R+17",0,"Dale Strong"
"15","Alabama","01","5","05","0105","R+17",0,"Kathy Warner-Stanton"
"16","Alabama","01","6","06","0106","R+18",0,"Andria Chieffo"
"17","Alabama","01","6","06","0106","R+18",1,"Gary Palmer"
"18","Alabama","01","7","07","0107","D+14",0,"Gavin Goodman"
"19","Alabama","01","7","07","0107","D+14",0,"Beatrice Nichols"
"20","Alabama","01","7","07","0107","D+14",1,"Terri Sewell"
"21","Alaska","02","AL","AL","02AL","R+8",0,"Nick Begich III"
"22","Alaska","02","AL","AL","02AL","R+8",0,"Chris Bye"
"23","Alaska","02","AL","AL","02AL","R+8",0,"Sarah Palin"
"24","Alaska","02","AL","AL","02AL","R+8",1,"Mary Peltola"
"25","Arizona","04","1","01","0401","R+2",0,"Jevin Hodge"
"26","Arizona","04","1","01","0401","R+2",0,"David Schweikert"
"27","Arizona","04","2","02","0402","R+6",0,"Eli Crane"
"28","Arizona","04","2","02","0402","R+6",0,"Tom O'Halleran"
"29","Arizona","04","3","03","0403","D+24",0,"Ruben Gallego"
"30","Arizona","04","3","03","0403","D+24",0,"Jeff Zink"
"31","Arizona","04","4","04","0404","D+2",0,"Kelly Cooper"
"32","Arizona","04","4","04","0404","D+2",0,"Greg Stanton"
"33","Arizona","04","5","05","0405","R+11",1,"Andy Biggs"
"34","Arizona","04","5","05","0405","R+11",0,"Javier Ramos"
"35","Arizona","04","5","05","0405","R+11",0,"Clint Smith"
"36","Arizona","04","6","06","0406","R+3",0,"Juan Ciscomani"
"37","Arizona","04","6","06","0406","R+3",0,"Kirsten Engel"
"38","Arizona","04","7","07","0407","D+15",0,"Raúl Grijalva"
"39","Arizona","04","7","07","0407","D+15",0,"Luis Pozzolo"
"40","Arizona","04","8","08","0408","R+10",1,"Debbie Lesko"
"41","Arizona","04","9","09","0409","R+16",0,"Paul Gosar"
"42","Arkansas","05","1","01","0501","R+22",1,"Rick Crawford"
"43","Arkansas","05","1","01","0501","R+22",0,"Roger Daugherty"
"44","Arkansas","05","1","01","0501","R+22",0,"Monte Hodges"
"45","Arkansas","05","2","02","0502","R+9",0,"Quintessa Hathaway"
"46","Arkansas","05","2","02","0502","R+9",1,"French Hill"
"47","Arkansas","05","2","02","0502","R+9",0,"Michael White"
"48","Arkansas","05","3","03","0503","R+15",0,"Michael Kalagias"
"49","Arkansas","05","3","03","0503","R+15",0,"Lauren Mallett-Hays"
"50","Arkansas","05","3","03","0503","R+15",1,"Steve Womack"
"51","Arkansas","05","4","04","0504","R+20",0,"Gregory Maxwell"
"52","Arkansas","05","4","04","0504","R+20",1,"Bruce Westerman"
"53","Arkansas","05","4","04","0504","R+20",0,"John White"
"54","California","06","1","01","0601","R+12",1,"Doug LaMalfa"
"55","California","06","1","01","0601","R+12",0,"Max Steiner"
"56","California","06","2","02","0602","D+23",0,"Douglas Brower"
