"","state","year","district","RepVotes","RepStatus","DemVotes","DemStatus","rep_votes_major_percent","dem_votes_major_percent","district_id","WinnerParty","TotalVotesMajor","vote_margin","winner_party","RepVotesMajorPercent","DemVotesMajorPercent"
"1","Alabama",2020,"1",211825,"Challenger",116949,"Challenger",64.43,35.57,"AL01","R",328774,0.288575131,NA,NA,NA
"2","Alabama",2020,"2",197996,"Challenger",105286,"Challenger",65.28,34.72,"AL02","R",303282,0.305689095,NA,NA,NA
"3","Alabama",2020,"3",217384,"Incumbent",104595,"Challenger",67.51,32.49,"AL03","R",321979,0.350299243,NA,NA,NA
"4","Alabama",2020,"4",261553,"Incumbent",56237,"Challenger",82.3,17.7,"AL04","R",317790,0.646074452,NA,NA,NA
"5","Alabama",2020,"5",253094,"Incumbent",0,NA,100,0,"AL05","R",253094,0.956277114,NA,NA,NA
"6","Alabama",2020,"6",274160,"Incumbent",0,NA,100,0,"AL06","R",274160,0.970451561,NA,NA,NA
"7","Alabama",2020,"7",0,NA,225742,"Incumbent",0,100,"AL07","D",225742,0.970811812,NA,NA,NA
"8","Alaska",2020,"AL",192126,"Incumbent",159856,"Challenger",54.58,45.42,"AK00","R",351982,0.091680825,NA,NA,NA
"9","Arizona",2020,"1",176709,"Challenger",188469,"Incumbent",48.39,51.61,"AZ01","D",365178,0.032203473,NA,NA,NA
"10","Arizona",2020,"2",170975,"Challenger",209945,"Incumbent",44.88,55.12,"AZ02","D",380920,0.102304946,NA,NA,NA
"11","Arizona",2020,"3",95594,"Challenger",174243,"Incumbent",35.43,64.57,"AZ03","D",269837,0.291468553,NA,NA,NA
"12","Arizona",2020,"4",278002,"Incumbent",120484,"Challenger",69.76,30.24,"AZ04","R",398486,0.395291177,NA,NA,NA
"13","Arizona",2020,"5",262414,"Incumbent",183171,"Challenger",58.89,41.11,"AZ05","R",445585,0.177840367,NA,NA,NA
"14","Arizona",2020,"6",217783,"Incumbent",199644,"Challenger",52.17,47.83,"AZ06","R",417427,0.043454305,NA,NA,NA
"15","Arizona",2020,"7",50226,"Challenger",165452,"Incumbent",23.29,76.71,"AZ07","D",215678,0.534250132,NA,NA,NA
"16","Arizona",2020,"8",254633,"Incumbent",170816,"Challenger",59.85,40.15,"AZ08","R",425449,0.197008337,NA,NA,NA
"17","Arizona",2020,"9",135180,"Challenger",217094,"Incumbent",38.37,61.63,"AZ09","D",352274,0.232529224,NA,NA,NA
"18","Arkansas",2020,"1",237596,"Incumbent",0,NA,100,0,"AR01","R",237596,1,NA,NA,NA
"19","Arkansas",2020,"2",184093,"Incumbent",148410,"Challenger",55.37,44.63,"AR02","R",332503,0.107316325,NA,NA,NA
"20","Arkansas",2020,"3",214960,"Incumbent",106325,"Challenger",66.91,33.09,"AR03","R",321285,0.338126585,NA,NA,NA
"21","Arkansas",2020,"4",191617,"Incumbent",75750,"Challenger",71.67,28.33,"AR04","R",267367,0.43336313,NA,NA,NA
"22","California",2020,"1",204190,"Incumbent",154073,"Challenger",56.99,43.01,"CA01","R",358263,0.139888853,NA,NA,NA
"23","California",2020,"2",94320,"Challenger",294435,"Incumbent",24.26,75.74,"CA02","D",388755,0.514758653,NA,NA,NA
"24","California",2020,"3",145945,"Challenger",176043,"Incumbent",45.33,54.67,"CA03","D",321988,0.093475533,NA,NA,NA
"25","California",2020,"4",247291,"Incumbent",194731,"Challenger",55.95,44.05,"CA04","R",442022,0.118908109,NA,NA,NA
"26","California",2020,"5",85227,"Challenger",271233,"Incumbent",23.91,76.09,"CA05","D",356460,0.521814509,NA,NA,NA
"27","California",2020,"6",83466,"Challenger",229648,"Incumbent",26.66,73.34,"CA06","D",313114,0.466865103,NA,NA,NA
"28","California",2020,"7",166549,"Challenger",217416,"Incumbent",43.38,56.62,"CA07","D",383965,0.132478221,NA,NA,NA
"29","California",2020,"8",158711,"Challenger",124400,"Challenger",56.06,43.94,"CA08","R",283111,0.121192748,NA,NA,NA
"30","California",2020,"9",128358,"Challenger",174252,"Incumbent",42.42,57.58,"CA09","D",302610,0.151660553,NA,NA,NA
"31","California",2020,"10",135629,"Challenger",166865,"Incumbent",44.84,55.16,"CA10","D",302494,0.103261552,"D",44.84,55.16
"32","California",2020,"11",100293,"Challenger",271063,"Incumbent",27.01,72.99,"CA11","D",371356,0.459855233,"D",27.01,72.99
"33","California",2020,"12",0,NA,281776,"Incumbent",0,100,"CA12","D",281776,0.711920107,"D",0,100
"34","California",2020,"13",34955,"Challenger",327863,"Incumbent",9.63,90.37,"CA13","D",362818,0.80731386,"D",9.63,90.37
"35","California",2020,"14",72705,"Challenger",278300,"Incumbent",20.71,79.29,"CA14","D",351005,0.585732397,"D",20.71,79.29
"36","California",2020,"15",99710,"Challenger",242991,"Incumbent",29.1,70.9,"CA15","D",342701,0.418093323,"D",29.1,70.9
"37","California",2020,"16",88039,"Challenger",128690,"Incumbent",40.62,59.38,"CA16","D",216729,0.187566039,"D",40.62,59.38
"38","California",2020,"17",85199,"Challenger",212137,"Incumbent",28.65,71.35,"CA17","D",297336,0.426917696,"D",28.65,71.35
"39","California",2020,"18",0,NA,217388,"Incumbent",0,100,"CA18","D",217388,0.416936537,"D",0,100
"40","California",2020,"19",88642,"Challenger",224385,"Incumbent",28.32,71.68,"CA19","D",313027,0.433646299,"D",28.32,71.68
"41","California",2020,"20",71658,"Challenger",236896,"Incumbent",23.22,76.78,"CA20","D",308554,0.535523766,"D",23.22,76.78
"42","California",2020,"21",85928,"Challenger",84406,"Incumbent",50.45,49.55,"CA21","R",170334,0.008935386,"R",50.45,49.55
"43","California",2020,"22",170888,"Incumbent",144251,"Challenger",54.23,45.77,"CA22","R",315139,0.084524607,"R",54.23,45.77
"44","California",2020,"23",190222,"Incumbent",115896,"Challenger",62.14,37.86,"CA23","R",306118,0.242801795,"R",62.14,37.86
"45","California",2020,"24",149781,"Challenger",212564,"Incumbent",41.34,58.66,"CA24","D",362345,0.17326857,"D",41.34,58.66
