FIPS,STATE_FIPS,CD,Geographic Name,Geographic Subtype,Total Vote,RANKD,RANKR,RANKI,Democratic,Republican,Independent,Libertarian,Green,Constitution,CA Democratic,CA Republican,Unity,Write-ins,Independent American,Conservative,Working Families,Working Class,State1,State2,State3,State4,State5,State6,State7,State8
fips,state_fips,cd,name,type,totalvote,rankD,rankR,rankI,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22
1901,1,01,District 1,Congressional District,167226,0,1,0,0,139854,0,26197,0,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0
1902,1,02,District 2,Congressional District,198464,2,1,0,57800,137193,0,3380,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0
1903,1,03,District 3,Congressional District,190071,2,1,3,47770,135448,3826,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,1,04,District 4,Congressional District,195373,2,1,0,26628,164371,0,4294,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1905,1,05,District 5,Congressional District,211562,2,1,0,62466,141988,0,6740,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0
1906,1,06,District 6,Congressional District,183985,0,1,0,0,154058,0,27792,0,0,0,0,0,2135,0,0,0,0,0,0,0,0,0,0,0,0
1907,1,07,District 7,Congressional District,193699,1,2,0,123060,67353,0,3207,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
2901,2,01,At Large,Congressional District,261626,1,2,0,127364,67485,0,4521,0,0,0,61179,0,1077,0,0,0,0,0,0,0,0,0,0,0,0
4901,4,01,District 1,Congressional District,361477,2,1,0,179141,182336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4902,4,02,District 2,Congressional District,323319,2,1,0,149150,174169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4903,4,03,District 3,Congressional District,141074,1,2,0,108599,32475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4904,4,04,District 4,Congressional District,265462,1,2,0,148941,116521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4905,4,05,District 5,Congressional District,321558,2,1,3,120243,182464,18851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4906,4,06,District 6,Congressional District,349170,2,1,0,171969,177201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4907,4,07,District 7,Congressional District,195862,1,2,0,126418,69444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4908,4,08,District 8,Congressional District,197555,0,1,0,0,197555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
